dll,method
JetBrains.Lifetimes.dll,Util.StaticsForType`1.ForEachValue
JetBrains.Lifetimes.dll,Util.StaticsForType`1.PeekFirst
JetBrains.Lifetimes.dll,Util.StaticsForType`1.PeekLast
JetBrains.Lifetimes.dll,Util.StaticsForType`1.RemoveLastReferenceEqual
JetBrains.Lifetimes.dll,Util.StaticsForType`1.ReplaceFirst
JetBrains.Lifetimes.dll,Util.Statics.For
JetBrains.Lifetimes.dll,Util.LocalStopwatch.StartNew
JetBrains.Lifetimes.dll,Util.LocalStopwatch.GetElapsedDateTimeTicks
JetBrains.Lifetimes.dll,Util.Types.OptionalTypeInfo
JetBrains.Lifetimes.dll,Util.Types.ToString
JetBrains.Lifetimes.dll,Collections.Viewable.ReactiveEx.AddLifetimed
JetBrains.Lifetimes.dll,Collections.Viewable.SingleThreadScheduler.CreateOverExisting
JetBrains.Lifetimes.dll,Collections.Viewable.SingleThreadScheduler.Queue
Unity.dll,ShaderStringBuilder.AppendLines
Unity.dll,ShaderStringBuilder.Concat
Unity.dll,ShaderStringBuilder.Dispose
Unity.dll,SlotValueHelper.AreCompatible
Unity.dll,HlslTokenizer.GetOperatorToken
Unity.dll,HlslTokenizer.ParseNumericLiteral
Unity.dll,HlslTokenizer.Init
Unity.dll,PartialDerivUtilWriter.MakeBinaryFunc
Unity.dll,PartialDerivUtilWriter.MakeSingleFunc
Unity.dll,PartialDerivUtilWriter.MakeImplicitCast
Unity.dll,PartialDerivUtilWriter.GenerateDefinitionsAndFuncs
Unity.dll,HlslParser.ParseStruct
Unity.dll,HlslParser.ParseStatement
Unity.dll,HlslGenerator.MarkApdNodesAndVariablesIsLegal
Unity.dll,HlslGenerator.CalculateApdDependenciesRecurse
Unity.dll,HlslGenerator.GenerateNodeExpression
Unity.dll,Collections.Bitwise.FindUlong
Unity.dll,Collections.Bitwise.FindUpto6bits
Unity.dll,Collections.ConcurrentMask.AtomicAnd
Unity.dll,xxHash3.Hash64Internal
Unity.dll,ObserverManager.NotifyObservers
Unity.dll,UnsafeList`1.InsertRangeWithBeginEnd
